Altitude,Latitude,Longitude,Velocity,Date,Cordinates
264.0164515,-51.19975554,-111.0171767,17122.55477,10/28/2017 6:04,"[[-51.19975553521,-111.01717669723]]"
254.9688982,-21.22036002,-124.8202021,17145.34073,10/28/2017 10:56,"[[-21.220360021177,-124.82020210913]]"
249.7398967,21.77698824,-162.9088408,17166.81371,10/28/2017 15:48,"[[21.776988240149,-162.90884080804]]"
252.6771284,51.34755966,-175.6955228,17168.7425,10/28/2017 20:40,"[[51.347559658871,-175.69552279281]]"
251.4057791,31.03667044,-177.9242822,17163.78271,10/29/2017 1:32,"[[31.036670435233,-177.92428215994]]"
254.2101947,-11.40286265,145.2645485,17145.69546,10/29/2017 6:24,"[[-11.402862650141,145.26454854342]]"
263.405871,-47.53943188,121.2455257,17123.14229,10/29/2017 11:16,"[[-47.539431878338,121.2455256771]]"
260.6224796,-40.11592978,126.1723665,17130.65331,10/29/2017 16:08,"[[-40.115929777107,126.17236649211]]"
250.9133838,0.290671315,93.72689301,17157.95881,10/29/2017 21:00,"[[0.29067131509378,93.726893006796]]"
251.2085522,40.62551364,61.7529567,17169.21481,10/30/2017 1:52,"[[40.625513638133,61.752956703046]]"
252.4286884,47.06288956,67.31506145,17167.5378,10/30/2017 6:44,"[[47.062889556751,67.315061450809]]"
251.1875522,10.32404658,42.62132918,17157.76563,10/30/2017 11:36,"[[10.32404658237,42.621329180084]]"
259.2230588,-31.93145102,6.028743157,17132.35025,10/30/2017 16:28,"[[-31.931451021306,6.0287431565057]]"
264.2047722,-51.19370463,4.320324101,17121.71708,10/30/2017 21:20,"[[-51.193704631415,4.3203241013927]]"
255.2036206,-21.18004533,-9.518966639,17144.30517,10/31/2017 2:12,"[[-21.180045331473,-9.5189666389912]]"
249.8110781,21.82320705,-47.6068468,17166.48088,10/31/2017 7:04,"[[21.823207048998,-47.606846801962]]"
252.4916371,51.35933108,-60.32101225,17169.44741,10/31/2017 11:56,"[[51.359331081507,-60.321012248726]]"
250.9840036,30.98200307,-62.59320894,17165.41658,10/31/2017 16:48,"[[30.982003065536,-62.593208943358]]"
253.9314047,-11.48127174,-99.40767136,17146.78608,10/31/2017 21:40,"[[-11.481271740966,-99.407671355563]]"
263.4634918,-47.59258589,-123.3143442,17122.86091,11/1/2017 2:32,"[[-47.592585893778,-123.31434415049]]"
260.9204268,-40.0337877,-118.4170968,17129.32597,11/1/2017 7:24,"[[-40.033787697421,-118.41709681234]]"
251.1980265,0.405804063,-150.9205549,17156.72555,11/1/2017 12:16,"[[0.40580406311978,-150.92055493466]]"
251.2101164,40.71628619,177.182137,17169.17837,11/1/2017 17:08,"[[40.716286189908,177.18213704671]]"
252.0817301,46.98994546,-177.1898581,17168.8362,11/1/2017 22:00,"[[46.989945460824,-177.18985807562]]"
250.7793306,10.16793825,158.0116124,17159.32076,11/2/2017 2:52,"[[10.167938254284,158.01161239741]]"
259.0270821,-31.92328151,121.2765657,17134.15434,11/2/2017 7:44,"[[-31.923281514586,121.27656571673]]"
264.2495145,-51.22595952,119.2793441,17122.50898,11/2/2017 12:36,"[[-51.225959523426,119.27934412276]]"
255.9029294,-21.46034645,105.4759581,17142.45722,11/2/2017 17:28,"[[-21.460346449607,105.47595809033]]"
250.8684835,21.40506681,67.2526501,17162.86939,11/2/2017 22:20,"[[21.405066811738,67.252650097809]]"
253.4331007,51.25326368,53.77404415,17166.34521,11/3/2017 3:12,"[[51.253263681275,53.774044152747]]"
251.4992413,31.59587619,51.91325853,17164.33188,11/3/2017 8:04,"[[31.59587618791,51.913258532224]]"
253.6475321,-10.68549919,15.19140929,17148.46858,11/3/2017 12:56,"[[-10.685499189094,15.191409286892]]"
263.2355338,-47.04713908,-9.852608759,17124.47668,11/3/2017 17:48,"[[-47.04713908065,-9.8526087590078]]"
261.3640618,-40.91783457,-4.778660335,17128.93988,11/3/2017 22:40,"[[-40.9178345694,-4.7786603352232]]"
252.0606738,-0.946749456,-36.72522865,17154.18858,11/4/2017 3:32,"[[-0.94674945581314,-36.72522864681]]"
252.1150387,39.58945775,-69.59047602,17165.89101,11/4/2017 8:24,"[[39.589457746964,-69.590476018711]]"
253.0637215,47.85127999,-64.79734503,17166.24855,11/4/2017 13:16,"[[47.851279987537,-64.797345027071]]"
251.2745518,11.99874997,-88.24095175,17158.65885,11/4/2017 18:08,"[[11.998749967615,-88.240951749381]]"
258.541675,-30.34910914,-125.3869427,17135.31122,11/4/2017 23:00,"[[-30.349109138837,-125.38694270309]]"
264.3739007,-51.5258538,-129.0367489,17122.10908,11/5/2017 3:52,"[[-51.525853803117,-129.036748889]]"
256.4047059,-23.14574878,-140.9039766,17141.03609,11/5/2017 8:44,"[[-23.145748781101,-140.90397659852]]"
250.898514,19.6911058,-179.0989864,17162.24136,11/5/2017 13:36,"[[19.69110580327,-179.09898636062]]"
253.3914146,50.84768469,165.4669508,17166.42866,11/5/2017 18:28,"[[50.84768469299,165.46695077391]]"
251.6085881,33.17142274,165.1674835,17164.79286,11/5/2017 23:20,"[[33.171422742311,165.1674835495]]"
253.3657255,-8.852126888,128.9531407,17149.5335,11/6/2017 4:12,"[[-8.8521268883879,128.95314072896]]"
262.8718865,-46.09558433,102.5507986,17125.41877,11/6/2017 9:04,"[[-46.095584328306,102.55079863308]]"
261.7795204,-42.14429749,108.0801922,17127.82985,11/6/2017 13:56,"[[-42.144297487792,108.08019217949]]"
252.4585078,-2.667107451,77.18060424,17152.58253,11/6/2017 18:48,"[[-2.6671074508902,77.180604242782]]"
252.0779157,38.26782231,43.44328312,17165.33836,11/6/2017 23:40,"[[38.267822309391,43.443283120284]]"
253.077544,48.65412655,47.4384206,17166.56443,11/7/2017 4:32,"[[48.654126547798,47.4384206036]]"
250.8504491,13.65561383,25.62618401,17160.68872,11/7/2017 9:24,"[[13.655613830863,25.626184013872]]"
257.8482909,-28.86521846,-11.85364083,17137.41205,11/7/2017 14:16,"[[-28.865218459884,-11.853640834517]]"
264.4475657,-51.70706075,-17.14045404,17121.84264,11/7/2017 19:08,"[[-51.707060750407,-17.140454042509]]"
257.0462974,-24.69687811,-27.19972741,17138.95801,11/8/2017 0:00,"[[-24.696878108293,-27.199727412842]]"
251.126223,18.09486067,-65.29261513,17160.75479,11/8/2017 4:52,"[[18.094860669559,-65.29261512793]]"
253.3532157,50.3777418,-82.50294709,17166.30092,11/8/2017 9:44,"[[50.377741796045,-82.502947089924]]"
251.4923826,34.57046956,-81.45467797,17165.88495,11/8/2017 14:36,"[[34.57046955917,-81.454677972459]]"
252.7784034,-7.222913756,-117.1001795,17151.64714,11/8/2017 19:28,"[[-7.2229137559683,-117.10017951591]]"
262.4447395,-45.13633093,-144.7838641,17126.61792,11/9/2017 0:20,"[[-45.136330932282,-144.78386410612]]"
262.1988698,-43.24986392,-139.0014653,17126.647,11/9/2017 5:12,"[[-43.249863917136,-139.00146532383]]"
252.8748775,-4.245883789,-168.8050723,17150.87261,11/9/2017 10:04,"[[-4.2458837887891,-168.80507233593]]"
252.0700469,37.02617999,156.7441962,17164.63287,11/9/2017 14:56,"[[37.026179993358,156.74419623445]]"
253.0411538,49.30962001,159.8844492,17166.91756,11/9/2017 19:48,"[[49.309620014139,159.88444924479]]"
250.5244061,15.14912132,139.6094482,17162.24821,11/10/2017 0:40,"[[15.149121315126,139.60944823124]]"
257.1979574,-27.51301174,101.8980135,17139.33477,11/10/2017 5:32,"[[-27.513011743152,101.89801351926]]"
264.351934,-51.7867917,95.15284393,17122.10945,11/10/2017 10:24,"[[-51.786791701217,95.152843932244]]"
257.5632117,-26.04634783,86.66178963,17137.25423,11/10/2017 15:16,"[[-26.046347832541,86.661789629053]]"
251.2966639,16.69585809,48.72446894,17159.51014,11/10/2017 20:08,"[[16.695858089964,48.724468937816]]"
253.2685397,49.90514925,30.04666386,17166.25976,11/11/2017 1:00,"[[49.905149252521,30.046663859423]]"
251.3312527,35.7316628,32.16612667,17166.95062,11/11/2017 5:52,"[[35.731662800194,32.166126665982]]"
252.2203809,-5.860262775,-2.928826893,17153.60321,11/11/2017 10:44,"[[-5.8602627753237,-2.9288268931851]]"
261.9719348,-44.30337172,-31.59504131,17127.94814,11/11/2017 15:36,"[[-44.30337171631,-31.595041308891]]"
262.4653394,-44.10905143,-25.70204346,17125.83511,11/11/2017 20:28,"[[-44.10905143327,-25.702043460417]]"
253.3259723,-5.571013261,-54.59868211,17149.04766,11/12/2017 1:20,"[[-5.5710132609662,-54.598682113495]]"
252.1833638,35.95707943,-89.59792983,17163.54432,11/12/2017 6:12,"[[35.957079433405,-89.597929830899]]"
253.0529424,49.80787882,-87.28631221,17167.02311,11/12/2017 11:04,"[[49.807878824579,-87.286312206086]]"
250.2823365,16.423916,-106.2401387,17163.50074,11/12/2017 15:56,"[[16.423916001666,-106.24013870718]]"
256.6030498,-26.33416125,-144.1135175,17141.19592,11/12/2017 20:48,"[[-26.334161247394,-144.11351750997]]"
264.2226545,-51.79482797,-152.1848456,17122.57279,11/13/2017 1:40,"[[-51.794827966314,-152.18484563504]]"
257.9327269,-27.18437043,-159.2995274,17136.12544,11/13/2017 6:32,"[[-27.184370434971,-159.29952736967]]"
251.5765578,15.48714116,162.9230169,17157.95837,11/13/2017 11:24,"[[15.487141164602,162.92301685173]]"
253.3990336,49.44669431,142.9944328,17165.41487,11/13/2017 16:16,"[[49.446694309059,142.99443283637]]"
251.3348005,36.72978355,145.9472028,17167.34598,11/13/2017 21:08,"[[36.7297835521,145.94720281318]]"
251.7168759,-4.65563363,111.3695671,17155.46306,11/14/2017 2:00,"[[-4.6556336301153,111.36956711057]]"
261.4954858,-43.53417493,81.87459445,17129.41689,11/14/2017 6:52,"[[-43.534174931757,81.874594447305]]"
262.560436,-44.86341088,87.72140958,17125.78686,11/14/2017 11:44,"[[-44.863410881101,87.721409581609]]"
253.5628881,-6.760064111,59.717877,17148.16848,11/14/2017 16:36,"[[-6.7600641109229,59.717877000167]]"
252.2507967,34.97336016,24.26182629,17162.75046,11/14/2017 21:28,"[[34.973360159814,24.261826286883]]"
253.2158152,50.21415385,25.72951154,17166.52682,11/15/2017 2:20,"[[50.214153851903,25.729511537524]]"
250.1612942,17.55137258,8.023951899,17164.26022,11/15/2017 7:12,"[[17.551372577402,8.0239518988277]]"
256.0867087,-25.27420648,-29.96086811,17142.81572,11/15/2017 12:04,"[[-25.274206481253,-29.960868109786]]"
264.0148168,-51.75266048,-39.2337624,17123.34122,11/15/2017 16:56,"[[-51.752660479518,-39.233762399861]]"
258.2161689,-28.20590617,-45.16255689,17135.35016,11/15/2017 21:48,"[[-28.205906169256,-45.162556893726]]"
251.7764848,14.39863739,-82.75107431,17156.80489,11/16/2017 2:40,"[[14.398637391855,-82.751074307827]]"
253.544861,48.994602,-103.7755193,17164.52956,11/16/2017 7:32,"[[48.994601996212,-103.77551925816]]"
251.4416711,37.61062768,-100.1514205,17167.28535,11/16/2017 12:24,"[[37.610627680784,-100.15142054393]]"
251.3628014,-3.570946549,-134.2281714,17156.76776,11/16/2017 17:16,"[[-3.5709465494669,-134.22817137039]]"
261.0730491,-42.81552618,-164.4393366,17130.71008,11/16/2017 22:08,"[[-42.815526184553,-164.43933656966]]"
262.7302045,-45.49103116,-158.6517338,17125.34199,11/17/2017 3:00,"[[-45.49103115953,-158.65173375052]]"
253.9676477,-7.781640848,174.1495755,17146.5767,11/17/2017 7:52,"[[-7.7816408480642,174.14957552111]]"
252.4257111,34.117313,138.331819,17161.55154,11/17/2017 12:44,"[[34.117313004816,138.33181900046]]"
253.2796558,50.52388351,139.0614854,17166.33058,11/17/2017 17:36,"[[50.52388351162,139.06148536824]]"
249.9230198,18.50296005,122.4246709,17165.42396,11/17/2017 22:28,"[[18.502960047879,122.42467087226]]"
255.5109841,-24.37937901,84.37833424,17144.7134,11/18/2017 3:20,"[[-24.379379007335,84.378334238459]]"
263.8082253,-51.6837897,74.10679502,17124.05234,11/18/2017 8:12,"[[-51.683789704759,74.106795023128]]"
258.5078263,-29.04147165,69.14944074,17134.43022,11/18/2017 13:04,"[[-29.041471652317,69.149440740069]]"
252.0401818,13.49283366,31.73476474,17155.4259,11/18/2017 17:56,"[[13.492833655947,31.734764735789]]"
253.6790152,48.59518444,9.830437409,17163.6907,11/18/2017 22:48,"[[48.59518443922,9.8304374094049]]"
251.4407736,38.32113888,13.96498357,17167.55381,11/19/2017 3:40,"[[38.321138881238,13.964983567806]]"
250.9394418,-2.68142617,-19.67144984,17158.34918,11/19/2017 8:32,"[[-2.6814261695242,-19.671449840004]]"
260.5310604,-42.21785411,-50.42878454,17132.5146,11/19/2017 13:24,"[[-42.217854106517,-50.428784536651]]"
262.6951244,-45.98942147,-44.76062407,17125.64824,11/19/2017 18:16,"[[-45.989421470445,-44.760624067688]]"
254.1925464,-8.615251109,-71.26499459,17145.69001,11/19/2017 23:08,"[[-8.6152511092458,-71.26499459427]]"
252.5985567,33.41288578,-107.3506284,17160.42067,11/20/2017 4:00,"[[33.412885782384,-107.35062838499]]"
253.4498476,50.75677,-107.3052129,17165.67747,11/20/2017 8:52,"[[50.756769996869,-107.30521285176]]"
249.8180023,19.29430891,-123.0432289,17166.02366,11/20/2017 13:44,"[[19.294308909253,-123.04322888645]]"
254.9939901,-23.61508704,-161.1332497,17146.46196,11/20/2017 18:36,"[[-23.615087037451,-161.13324973508]]"
263.5250051,-51.60055574,-172.2595719,17125.09945,11/20/2017 23:28,"[[-51.600555738541,-172.25957191194]]"
258.6937307,-29.74697485,-176.4096623,17133.92314,11/21/2017 4:20,"[[-29.74697484557,-176.40966227755]]"
252.27661,12.72559593,146.3448024,17154.22502,11/21/2017 9:12,"[[12.725595928739,146.34480241678]]"
253.8625429,48.23846904,123.7087369,17162.697,11/21/2017 14:04,"[[48.238469043698,123.70873693531]]"
251.5444817,38.92524287,128.2222682,17167.38059,11/21/2017 18:56,"[[38.925242874317,128.22226819367]]"
250.581173,-1.912179286,94.98178222,17159.72466,11/21/2017 23:48,"[[-1.9121792855186,94.981782216831]]"
260.0188116,-41.68786235,63.76485978,17134.27703,11/22/2017 4:40,"[[-41.687862350954,63.764859781146]]"
262.631388,-46.40681222,69.29749484,17126.07141,11/22/2017 9:32,"[[-46.406812220011,69.297494835981]]"
254.5030627,-9.339547405,43.40543034,17144.49314,11/22/2017 14:24,"[[-9.3395474046962,43.405430340226]]"
252.8960245,32.78916241,7.095351285,17158.8682,11/22/2017 19:16,"[[32.789162412848,7.0953512850211]]"
253.705303,50.94200085,6.526674433,17164.68306,11/23/2017 0:08,"[[50.942000845456,6.5266744327358]]"
249.7305797,19.98747943,-8.42297371,17166.55903,11/23/2017 5:00,"[[19.987479432556,-8.4229737095201]]"
254.4845581,-22.96013668,-46.52463405,17148.2346,11/23/2017 9:52,"[[-22.960136682741,-46.52463404777]]"
